county,fips,weight
Brewster,43,367
Cameron,61,17559345
Culberson,109,385
El Paso,141,38410189
Hidalgo,215,16150795
Hudspeth,229,4145
Jeff Davis,243,0
Kinney,271,0
Maverick,323,9283947
Presidio,377,1760688
Starr,427,5570074
Terrell,443,0
Val Verde,465,7994526
Webb,479,19205464
Zapata,505,707
