county,fips,"low risk 0-4","low risk 5-24","low risk 25-49","low risk 50-64","low risk 65+","high risk 0-4","high risk 5-24","high risk 25-49","high risk 50-64","high risk 65+","first responder 0-4","first responder 5-24","first responder 25-49","first responder 50-64","first responder 65+","pregnant 0-4","pregnant 5-24","pregnant 25-49","pregnant 50-64","pregnant 65+"
Titus,449,2706,8626,7761,3412,1755,236,1199,1854,1735,1976,0,0,416,0,0,0,279,379,0,0
Tom Green,451,7105,28580,25124,13119,7180,621,3934,6122,6670,8085,0,0,1556,0,0,0,962,1166,0,0
Travis,453,69683,255590,312984,105101,35163,6091,35872,72934,53435,39596,0,0,13623,0,0,0,7916,16278,0,0
Trinity,455,751,2729,2970,2267,1539,66,368,715,1153,1733,0,0,77,0,0,0,100,117,0,0
Tyler,457,1047,4304,5392,2951,1942,92,601,1336,1501,2187,0,0,110,0,0,0,136,167,0,0
Upshur,459,2329,8723,9184,5543,2912,204,1223,2211,2818,3279,0,0,247,0,0,0,271,365,0,0
Upton,461,229,787,742,463,232,20,113,186,236,261,0,0,37,0,0,0,22,27,0,0
Uvalde,463,1871,6980,5799,3074,1833,164,937,1355,1563,2063,0,0,218,0,0,0,259,289,0,0
Val Verde,465,3751,13291,11944,4987,2847,328,1797,2702,2535,3205,0,0,355,0,0,0,480,657,0,0
Van Zandt,467,2893,11391,11733,7390,4443,253,1623,2886,3757,5004,0,0,439,0,0,0,328,439,0,0
Victoria,469,6003,20822,19963,11134,5486,525,2828,4910,5660,6178,0,0,1573,0,0,0,739,972,0,0
Walker,471,2980,18428,18421,7977,3283,261,2640,4618,4055,3697,0,0,448,0,0,0,517,536,0,0
Waller,473,2888,12991,9751,5182,2068,252,1834,2247,2635,2328,0,0,173,0,0,0,392,464,0,0
Ward,475,748,2559,2506,1328,741,65,365,594,675,834,0,0,62,0,0,0,74,107,0,0
Washington,477,1857,7681,7146,4648,2916,162,1068,1698,2363,3283,0,0,310,0,0,0,248,338,0,0
Webb,479,22461,77698,64110,20856,9175,1963,10448,14017,10604,10332,0,0,1793,0,0,0,2863,3984,0,0
Wharton,481,2764,9939,9399,5291,2831,242,1372,2268,2690,3188,0,0,523,0,0,0,331,442,0,0
Wheeler,483,360,1164,1151,735,468,32,149,278,374,527,0,0,67,0,0,0,50,55,0,0
Wichita,485,8235,34155,31570,15128,8079,720,4737,7798,7692,9098,0,0,1845,0,0,0,1114,1329,0,0
Wilbarger,487,887,3232,2996,1745,992,78,442,742,887,1116,0,0,180,0,0,0,112,126,0,0
Willacy,489,1443,6056,5806,2249,1217,126,848,1337,1144,1370,0,0,79,0,0,0,189,270,0,0
